GRTransit Android app	GRT/Transit	An app for Android that displays bus route and stop information, as well as bus times.	http://baleka.org/gdmalet/android/grtransit/	Giles Malet		https://github.com/gdmalet/grtransit	approved
doGRT - GRT Bus Schedule	GRT/Transit	Look up the bus stop schedule for KW region, On, Canada. 

| Rotate your phone to browse all the stops on map 
| Locate the stops near you on the fly 
| View a route's path by tapping on a schedule time 
| Online update for new schedule 
| Native iPad and iPhone 5 support	https://itunes.apple.com/ca/app/dogrt-grt-bus-schedule/id495688038	Greg Wang	http://gregwym.info	https://github.com/doLast/doGRT-iOS	approved
Grand River Transit	GRT/Transit	Android app to tell you when the next bus is coming.	https://market.android.com/details?id=net.kw.shrdlu.grtgtfs	Giles Malet	http://twitter.com/#!/gdmalet		approved
Grand River Transit (web app)	GRT/Transit	A mobile-friendly web application with tools for finding nearby stops and next buses, viewing route maps, and more! Works on most major desktop and mobile browsers.	http://grtapp.ca/stop.asp	Jason Li	http://twitter.com/mrjasonli		approved
